As At,Year,Month number,Offence category,Offence type,Alcohol involvement,DV involvement,Reporting region ,Statistical Area 2,Number of offences
1/09/2021,2008,2,Commercial break-ins,Commercial break-ins actual,-,-,Darwin,-,76
1/09/2021,2008,2,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Howard Springs,3
1/09/2021,2008,2,Commercial break-ins,Commercial break-ins actual,-,-,Palmerston,-,24
1/09/2021,2008,2,Commercial break-ins,Commercial break-ins attempted,-,-,Darwin,-,18
1/09/2021,2008,2,Commercial break-ins,Commercial break-ins attempted,-,-,Palmerston,-,2
1/09/2021,2008,2,House break-ins,House break-ins actual,-,-,Darwin,-,100
1/09/2021,2008,2,House break-ins,House break-ins actual,-,-,NT Balance,Howard Springs,1
1/09/2021,2008,2,House break-ins,House break-ins actual,-,-,Palmerston,-,36
1/09/2021,2008,2,House break-ins,House break-ins attempted,-,-,Darwin,-,30
1/09/2021,2008,2,House break-ins,House break-ins attempted,-,-,Palmerston,-,2
1/09/2021,2008,2,Motor theft and related offences,Illegal use of a motor vehicle,-,-,Darwin,-,38
1/09/2021,2008,2,Motor theft and related offences,Illegal use of a motor vehicle,-,-,NT Balance,Howard Springs,2
1/09/2021,2008,2,Motor theft and related offences,Illegal use of a motor vehicle,-,-,NT Balance,Humpty Doo,1
1/09/2021,2008,2,Motor theft and related offences,Illegal use of a motor vehicle,-,-,Palmerston,-,14
1/09/2021,2008,2,Motor theft and related offences,Theft of motor vehicle parts or contents,-,-,Darwin,-,56
1/09/2021,2008,2,Motor theft and related offences,Theft of motor vehicle parts or contents,-,-,NT Balance,Howard Springs,1
1/09/2021,2008,2,Motor theft and related offences,Theft of motor vehicle parts or contents,-,-,Palmerston,-,26
1/09/2021,2008,2,Other Dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,-,-,Darwin,-,2
1/09/2021,2008,2,Other Dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,-,-,NT Balance,Howard Springs,1
1/09/2021,2008,2,Other Dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,-,-,Palmerston,-,1
1/09/2021,2008,2,Property Damage Offences,Property damage offences,-,-,Darwin,-,333
1/09/2021,2008,2,Property Damage Offences,Property damage offences,-,-,NT Balance,Howard Springs,2
1/09/2021,2008,2,Property Damage Offences,Property damage offences,-,-,NT Balance,Humpty Doo,4
1/09/2021,2008,2,Property Damage Offences,Property damage offences,-,-,Palmerston,-,106
1/09/2021,2008,2,Robbery - extortion and related offences,Robbery,-,-,Darwin,-,3
1/09/2021,2008,2,Robbery - extortion and related offences,Robbery,-,-,Palmerston,-,1
1/09/2021,2008,2,Sexual Assault and related offences,Sexual assault,-,-,Darwin,-,8
1/09/2021,2008,2,Sexual Assault and related offences,Sexual assault,-,-,NT Balance,Howard Springs,1
1/09/2021,2008,2,Sexual Assault and related offences,Sexual assault,-,-,Palmerston,-,1
1/09/2021,2008,2,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,Darwin,-,321
1/09/2021,2008,2,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Howard Springs,9
1/09/2021,2008,2,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Humpty Doo,4
1/09/2021,2008,2,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,Palmerston,-,88
1/09/2021,2008,3,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,Darwin,-,1
1/09/2021,2008,3,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Darwin,-,7
1/09/2021,2008,3,Acts intended to cause injury,Assault,Alcohol involved,DV,Darwin,-,12
1/09/2021,2008,3,Acts intended to cause injury,Assault,Alcohol involved,DV,NT Balance,Humpty Doo,1
1/09/2021,2008,3,Acts intended to cause injury,Assault,Alcohol involved,DV,Palmerston,-,7
1/09/2021,2008,3,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,Darwin,-,47
1/09/2021,2008,3,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,Palmerston,-,2
1/09/2021,2008,3,Acts intended to cause injury,Assault,Alcohol involvement unknown,DV,Darwin,-,8
1/09/2021,2008,3,Acts intended to cause injury,Assault,Alcohol involvement unknown,DV,NT Balance,Humpty Doo,1
1/09/2021,2008,3,Acts intended to cause injury,Assault,Alcohol involvement unknown,DV,Palmerston,-,2
1/09/2021,2008,3,Acts intended to cause injury,Assault,Alcohol involvement unknown,Non-DV,Darwin,-,43
1/09/2021,2008,3,Acts intended to cause injury,Assault,Alcohol involvement unknown,Non-DV,NT Balance,Howard Springs,1
1/09/2021,2008,3,Acts intended to cause injury,Assault,Alcohol involvement unknown,Non-DV,Palmerston,-,9
1/09/2021,2008,3,Acts intended to cause injury,Assault,No alcohol involved,DV,Darwin,-,5
1/09/2021,2008,3,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Darwin,-,17
1/09/2021,2008,3,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,NT Balance,Howard Springs,2
1/09/2021,2008,3,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Palmerston,-,2
1/09/2021,2008,3,Acts intended to cause injury,Other acts intended to cause injury,-,-,Darwin,-,2
1/09/2021,2008,3,Commercial break-ins,Commercial break-ins actual,-,-,Darwin,-,69
1/09/2021,2008,3,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Howard Springs,2
1/09/2021,2008,3,Commercial break-ins,Commercial break-ins actual,-,-,Palmerston,-,23
1/09/2021,2008,3,Commercial break-ins,Commercial break-ins attempted,-,-,Darwin,-,18
1/09/2021,2008,3,Commercial break-ins,Commercial break-ins attempted,-,-,Palmerston,-,2
1/09/2021,2008,3,House break-ins,House break-ins actual,-,-,Darwin,-,87
1/09/2021,2008,3,House break-ins,House break-ins actual,-,-,NT Balance,Howard Springs,2
1/09/2021,2008,3,House break-ins,House break-ins actual,-,-,Palmerston,-,28
1/09/2021,2008,3,House break-ins,House break-ins attempted,-,-,Darwin,-,11
1/09/2021,2008,3,House break-ins,House break-ins attempted,-,-,Palmerston,-,1
1/09/2021,2008,3,Motor theft and related offences,Illegal use of a motor vehicle,-,-,Darwin,-,23
1/09/2021,2008,3,Motor theft and related offences,Illegal use of a motor vehicle,-,-,NT Balance,Humpty Doo,1
1/09/2021,2008,3,Motor theft and related offences,Illegal use of a motor vehicle,-,-,Palmerston,-,8
1/09/2021,2008,3,Motor theft and related offences,Theft of motor vehicle parts or contents,-,-,Darwin,-,95
1/09/2021,2008,3,Motor theft and related offences,Theft of motor vehicle parts or contents,-,-,NT Balance,Humpty Doo,1
1/09/2021,2008,3,Motor theft and related offences,Theft of motor vehicle parts or contents,-,-,Palmerston,-,18
1/09/2021,2008,3,Other Dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,-,-,Darwin,-,2
1/09/2021,2008,3,Property Damage Offences,Property damage offences,-,-,Darwin,-,392
1/09/2021,2008,3,Property Damage Offences,Property damage offences,-,-,NT Balance,Howard Springs,5
1/09/2021,2008,3,Property Damage Offences,Property damage offences,-,-,NT Balance,Humpty Doo,6
1/09/2021,2008,3,Property Damage Offences,Property damage offences,-,-,Palmerston,-,102
1/09/2021,2008,3,Robbery - extortion and related offences,Robbery,-,-,Darwin,-,8
1/09/2021,2008,3,Sexual Assault and related offences,Sexual assault,-,-,Darwin,-,12
1/09/2021,2008,3,Sexual Assault and related offences,Sexual assault,-,-,Palmerston,-,5
1/09/2021,2008,3,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,Darwin,-,331
1/09/2021,2008,3,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Howard Springs,9
1/09/2021,2008,3,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Humpty Doo,3
1/09/2021,2008,3,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,Palmerston,-,92
1/09/2021,2008,4,Abduction - harassment and other offences against the person,Deprivation of liberty /false imprisonment,-,-,Palmerston,-,1
1/09/2021,2008,4,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Darwin,-,6
1/09/2021,2008,4,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Palmerston,-,1
1/09/2021,2008,4,Acts intended to cause injury,Assault,Alcohol involved,DV,Darwin,-,23
1/09/2021,2008,4,Acts intended to cause injury,Assault,Alcohol involved,DV,Palmerston,-,12
1/09/2021,2008,4,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,Darwin,-,39
1/09/2021,2008,4,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,Palmerston,-,9
1/09/2021,2008,4,Acts intended to cause injury,Assault,Alcohol involvement unknown,Non-DV,Darwin,-,44
1/09/2021,2008,4,Acts intended to cause injury,Assault,Alcohol involvement unknown,Non-DV,Palmerston,-,8
1/09/2021,2008,4,Acts intended to cause injury,Assault,No alcohol involved,DV,Darwin,-,7
1/09/2021,2008,4,Acts intended to cause injury,Assault,No alcohol involved,DV,Palmerston,-,1
1/09/2021,2008,4,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Darwin,-,13
1/09/2021,2008,4,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Palmerston,-,1
1/09/2021,2008,4,Acts intended to cause injury,Other acts intended to cause injury,-,-,Darwin,-,4
1/09/2021,2008,4,Acts intended to cause injury,Other acts intended to cause injury,-,-,NT Balance,Humpty Doo,1
1/09/2021,2008,4,Commercial break-ins,Commercial break-ins actual,-,-,Darwin,-,73
1/09/2021,2008,4,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Howard Springs,3
1/09/2021,2008,4,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Humpty Doo,2
1/09/2021,2008,4,Commercial break-ins,Commercial break-ins actual,-,-,Palmerston,-,31
1/09/2021,2008,4,Commercial break-ins,Commercial break-ins attempted,-,-,Darwin,-,13
1/09/2021,2008,4,Commercial break-ins,Commercial break-ins attempted,-,-,Palmerston,-,8
1/09/2021,2008,4,Homicide and related Offences,Manslaughter,-,-,Darwin,-,1
1/09/2021,2008,4,House break-ins,House break-ins actual,-,-,Darwin,-,88
1/09/2021,2008,4,House break-ins,House break-ins actual,-,-,NT Balance,Humpty Doo,2
1/09/2021,2008,4,House break-ins,House break-ins actual,-,-,Palmerston,-,43
1/09/2021,2008,4,House break-ins,House break-ins attempted,-,-,Darwin,-,18
1/09/2021,2008,4,House break-ins,House break-ins attempted,-,-,Palmerston,-,3
1/09/2021,2008,4,Motor theft and related offences,Illegal use of a motor vehicle,-,-,Darwin,-,27
1/09/2021,2008,4,Motor theft and related offences,Illegal use of a motor vehicle,-,-,NT Balance,Howard Springs,3
1/09/2021,2008,4,Motor theft and related offences,Illegal use of a motor vehicle,-,-,Palmerston,-,9
1/09/2021,2008,4,Motor theft and related offences,Theft of motor vehicle parts or contents,-,-,Darwin,-,61
1/09/2021,2008,4,Motor theft and related offences,Theft of motor vehicle parts or contents,-,-,NT Balance,Howard Springs,2
1/09/2021,2008,4,Motor theft and related offences,Theft of motor vehicle parts or contents,-,-,NT Balance,Humpty Doo,2
1/09/2021,2008,4,Motor theft and related offences,Theft of motor vehicle parts or contents,-,-,Palmerston,-,9
1/09/2021,2008,4,Other Dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,-,-,Darwin,-,2
1/09/2021,2008,4,Other Dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,-,-,NT Balance,Howard Springs,1
1/09/2021,2008,4,Property Damage Offences,Property damage offences,-,-,Darwin,-,307
1/09/2021,2008,4,Property Damage Offences,Property damage offences,-,-,NT Balance,Howard Springs,13
1/09/2021,2008,4,Property Damage Offences,Property damage offences,-,-,NT Balance,Humpty Doo,4
1/09/2021,2008,4,Property Damage Offences,Property damage offences,-,-,Palmerston,-,92
1/09/2021,2008,4,Robbery - extortion and related offences,Robbery,-,-,Darwin,-,2
1/09/2021,2008,4,Robbery - extortion and related offences,Robbery,-,-,Palmerston,-,5
1/09/2021,2008,4,Sexual Assault and related offences,Non-assaultive sexual offences,-,-,Darwin,-,2
1/09/2021,2008,4,Sexual Assault and related offences,Sexual assault,-,-,Darwin,-,13
1/09/2021,2008,4,Sexual Assault and related offences,Sexual assault,-,-,NT Balance,Howard Springs,2
1/09/2021,2008,4,Sexual Assault and related offences,Sexual assault,-,-,Palmerston,-,4
1/09/2021,2008,4,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,Darwin,-,360
1/09/2021,2008,4,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Howard Springs,9
1/09/2021,2008,4,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Humpty Doo,9
1/09/2021,2008,4,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,Palmerston,-,104
1/09/2021,2008,5,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,Darwin,-,2
1/09/2021,2008,5,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Darwin,-,8
1/09/2021,2008,5,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Palmerston,-,2
1/09/2021,2008,5,Acts intended to cause injury,Assault,Alcohol involved,DV,Darwin,-,20
1/09/2021,2008,5,Acts intended to cause injury,Assault,Alcohol involved,DV,NT Balance,Howard Springs,1
1/09/2021,2008,5,Acts intended to cause injury,Assault,Alcohol involved,DV,Palmerston,-,8
1/09/2021,2008,5,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,Darwin,-,47
1/09/2021,2008,5,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,NT Balance,Howard Springs,1
1/09/2021,2008,5,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,Palmerston,-,3
1/09/2021,2008,5,Acts intended to cause injury,Assault,Alcohol involvement unknown,DV,Darwin,-,3
1/09/2021,2008,5,Acts intended to cause injury,Assault,Alcohol involvement unknown,DV,Palmerston,-,1
1/09/2021,2008,5,Acts intended to cause injury,Assault,Alcohol involvement unknown,Non-DV,Darwin,-,32
1/09/2021,2008,5,Acts intended to cause injury,Assault,Alcohol involvement unknown,Non-DV,Palmerston,-,6
1/09/2021,2008,5,Acts intended to cause injury,Assault,No alcohol involved,DV,Darwin,-,7
1/09/2021,2008,5,Acts intended to cause injury,Assault,No alcohol involved,DV,Palmerston,-,3
1/09/2021,2008,5,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Darwin,-,13
1/09/2021,2008,5,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Palmerston,-,2
1/09/2021,2008,5,Acts intended to cause injury,Other acts intended to cause injury,-,-,Darwin,-,2
1/09/2021,2008,5,Commercial break-ins,Commercial break-ins actual,-,-,Darwin,-,55
1/09/2021,2008,5,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Howard Springs,1
1/09/2021,2008,5,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Humpty Doo,1
1/09/2021,2008,5,Commercial break-ins,Commercial break-ins actual,-,-,Palmerston,-,32
1/09/2021,2008,5,Commercial break-ins,Commercial break-ins attempted,-,-,Darwin,-,6
1/09/2021,2008,5,Commercial break-ins,Commercial break-ins attempted,-,-,Palmerston,-,5
1/09/2021,2008,5,Homicide and related Offences,Manslaughter,-,-,Darwin,-,1
1/09/2021,2008,5,Homicide and related Offences,Manslaughter,-,-,Palmerston,-,1
1/09/2021,2008,5,Homicide and related Offences,Murder,-,-,Darwin,-,1
1/09/2021,2008,5,House break-ins,House break-ins actual,-,-,Darwin,-,32
1/09/2021,2008,5,House break-ins,House break-ins actual,-,-,NT Balance,Howard Springs,1
1/09/2021,2008,5,House break-ins,House break-ins actual,-,-,NT Balance,Humpty Doo,1
1/09/2021,2008,5,House break-ins,House break-ins actual,-,-,Palmerston,-,28
1/09/2021,2008,5,House break-ins,House break-ins attempted,-,-,Darwin,-,2
1/09/2021,2008,5,House break-ins,House break-ins attempted,-,-,Palmerston,-,2
1/09/2021,2008,5,Motor theft and related offences,Illegal use of a motor vehicle,-,-,Darwin,-,43
1/09/2021,2008,5,Motor theft and related offences,Illegal use of a motor vehicle,-,-,Palmerston,-,11
1/09/2021,2008,5,Motor theft and related offences,Theft of motor vehicle parts or contents,-,-,Darwin,-,61
1/09/2021,2008,5,Motor theft and related offences,Theft of motor vehicle parts or contents,-,-,NT Balance,Howard Springs,1
1/09/2021,2008,5,Motor theft and related offences,Theft of motor vehicle parts or contents,-,-,NT Balance,Humpty Doo,1
1/09/2021,2008,5,Motor theft and related offences,Theft of motor vehicle parts or contents,-,-,Palmerston,-,10
1/09/2021,2008,5,Other Dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,-,-,Darwin,-,3
1/09/2021,2008,5,Other Dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,-,-,Palmerston,-,2
1/09/2021,2008,5,Property Damage Offences,Property damage offences,-,-,Darwin,-,316
1/09/2021,2008,5,Property Damage Offences,Property damage offences,-,-,NT Balance,Howard Springs,7
1/09/2021,2008,5,Property Damage Offences,Property damage offences,-,-,NT Balance,Humpty Doo,6
1/09/2021,2008,5,Property Damage Offences,Property damage offences,-,-,Palmerston,-,90
1/09/2021,2008,5,Robbery - extortion and related offences,Robbery,-,-,Darwin,-,4
1/09/2021,2008,5,Robbery - extortion and related offences,Robbery,-,-,NT Balance,Howard Springs,1
1/09/2021,2008,5,Sexual Assault and related offences,Non-assaultive sexual offences,-,-,Darwin,-,1
1/09/2021,2008,5,Sexual Assault and related offences,Sexual assault,-,-,Darwin,-,13
1/09/2021,2008,5,Sexual Assault and related offences,Sexual assault,-,-,Palmerston,-,3
1/09/2021,2008,5,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,Darwin,-,284
1/09/2021,2008,5,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Howard Springs,6
1/09/2021,2008,5,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Humpty Doo,8
1/09/2021,2008,5,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,Palmerston,-,103
1/09/2021,2008,6,Abduction - harassment and other offences against the person,Deprivation of liberty /false imprisonment,-,-,Darwin,-,1
1/09/2021,2008,6,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Darwin,-,7
1/09/2021,2008,6,Acts intended to cause injury,Assault,Alcohol involved,DV,Darwin,-,19
1/09/2021,2008,6,Acts intended to cause injury,Assault,Alcohol involved,DV,NT Balance,Humpty Doo,1
1/09/2021,2008,6,Acts intended to cause injury,Assault,Alcohol involved,DV,Palmerston,-,3
1/09/2021,2008,6,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,Darwin,-,45
1/09/2021,2008,6,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,NT Balance,Howard Springs,1
1/09/2021,2008,6,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,NT Balance,Humpty Doo,2
1/09/2021,2008,6,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,Palmerston,-,1
1/09/2021,2008,6,Acts intended to cause injury,Assault,Alcohol involvement unknown,DV,Darwin,-,4
1/09/2021,2008,6,Acts intended to cause injury,Assault,Alcohol involvement unknown,Non-DV,Darwin,-,23
1/09/2021,2008,6,Acts intended to cause injury,Assault,Alcohol involvement unknown,Non-DV,NT Balance,Humpty Doo,1
1/09/2021,2008,6,Acts intended to cause injury,Assault,Alcohol involvement unknown,Non-DV,Palmerston,-,7
1/09/2021,2008,6,Acts intended to cause injury,Assault,No alcohol involved,DV,Darwin,-,2
1/09/2021,2008,6,Acts intended to cause injury,Assault,No alcohol involved,DV,Palmerston,-,3
1/09/2021,2008,6,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Darwin,-,11
1/09/2021,2008,6,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Palmerston,-,1
1/09/2021,2008,6,Commercial break-ins,Commercial break-ins actual,-,-,Darwin,-,69
1/09/2021,2008,6,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Howard Springs,1
1/09/2021,2008,6,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Humpty Doo,2
1/09/2021,2008,6,Commercial break-ins,Commercial break-ins actual,-,-,Palmerston,-,23
1/09/2021,2008,6,Commercial break-ins,Commercial break-ins attempted,-,-,Darwin,-,8
1/09/2021,2008,6,Commercial break-ins,Commercial break-ins attempted,-,-,NT Balance,Humpty Doo,1
1/09/2021,2008,6,Commercial break-ins,Commercial break-ins attempted,-,-,Palmerston,-,6
1/09/2021,2008,6,Homicide and related Offences,Attempted Murder,-,-,Darwin,-,1
1/09/2021,2008,6,Homicide and related Offences,Attempted Murder,-,-,NT Balance,Howard Springs,1
1/09/2021,2008,6,House break-ins,House break-ins actual,-,-,Darwin,-,42
1/09/2021,2008,6,House break-ins,House break-ins actual,-,-,NT Balance,Humpty Doo,1
1/09/2021,2008,6,House break-ins,House break-ins actual,-,-,Palmerston,-,24
1/09/2021,2008,6,House break-ins,House break-ins attempted,-,-,Darwin,-,4
1/09/2021,2008,6,House break-ins,House break-ins attempted,-,-,Palmerston,-,1
1/09/2021,2008,6,Motor theft and related offences,Illegal use of a motor vehicle,-,-,Darwin,-,45
1/09/2021,2008,6,Motor theft and related offences,Illegal use of a motor vehicle,-,-,NT Balance,Humpty Doo,1
1/09/2021,2008,6,Motor theft and related offences,Illegal use of a motor vehicle,-,-,Palmerston,-,16
1/09/2021,2008,6,Motor theft and related offences,Theft of motor vehicle parts or contents,-,-,Darwin,-,81
1/09/2021,2008,6,Motor theft and related offences,Theft of motor vehicle parts or contents,-,-,NT Balance,Howard Springs,1
